Time =                    0, clk_in = 0, clk_out = 0
Time =                10000, clk_in = 1, clk_out = 0
Time =                20000, clk_in = 0, clk_out = 0
Time =                30000, clk_in = 1, clk_out = 0
Time =                40000, clk_in = 0, clk_out = 0
Time =                50000, clk_in = 1, clk_out = 0
Time =                60000, clk_in = 0, clk_out = 0
Time =                70000, clk_in = 1, clk_out = 0
Time =                80000, clk_in = 0, clk_out = 0
Time =                90000, clk_in = 1, clk_out = 0
Time =               100000, clk_in = 0, clk_out = 0
Time =               110000, clk_in = 1, clk_out = 0
Time =               120000, clk_in = 0, clk_out = 0
Time =               130000, clk_in = 1, clk_out = 0
Time =               140000, clk_in = 0, clk_out = 0
Time =               150000, clk_in = 1, clk_out = 0
Time =               160000, clk_in = 0, clk_out = 0
Time =               170000, clk_in = 1, clk_out = 0
Time =               180000, clk_in = 0, clk_out = 0
Time =               190000, clk_in = 1, clk_out = 0
Time =               200000, clk_in = 0, clk_out = 0
Time =               210000, clk_in = 1, clk_out = 0
Time =               220000, clk_in = 0, clk_out = 0
Time =               230000, clk_in = 1, clk_out = 0
Time =               240000, clk_in = 0, clk_out = 0
Time =               250000, clk_in = 1, clk_out = 0
Time =               260000, clk_in = 0, clk_out = 0
Time =               270000, clk_in = 1, clk_out = 0
Time =               280000, clk_in = 0, clk_out = 0
Time =               290000, clk_in = 1, clk_out = 0
Time =               300000, clk_in = 0, clk_out = 0
Time =               310000, clk_in = 1, clk_out = 0
Time =               320000, clk_in = 0, clk_out = 0
Time =               330000, clk_in = 1, clk_out = 0
Time =               340000, clk_in = 0, clk_out = 0
Time =               350000, clk_in = 1, clk_out = 0
Time =               360000, clk_in = 0, clk_out = 0
Time =               370000, clk_in = 1, clk_out = 0
Time =               380000, clk_in = 0, clk_out = 0
Time =               390000, clk_in = 1, clk_out = 0
Time =               400000, clk_in = 0, clk_out = 0
Time =               410000, clk_in = 1, clk_out = 0
Time =               420000, clk_in = 0, clk_out = 0
Time =               430000, clk_in = 1, clk_out = 0
Time =               440000, clk_in = 0, clk_out = 0
Time =               450000, clk_in = 1, clk_out = 0
Time =               460000, clk_in = 0, clk_out = 0
Time =               470000, clk_in = 1, clk_out = 0
Time =               480000, clk_in = 0, clk_out = 0
Time =               490000, clk_in = 1, clk_out = 0
Time =               500000, clk_in = 0, clk_out = 0
Time =               510000, clk_in = 1, clk_out = 0
Time =               520000, clk_in = 0, clk_out = 0
Time =               530000, clk_in = 1, clk_out = 0
Time =               540000, clk_in = 0, clk_out = 0
Time =               550000, clk_in = 1, clk_out = 0
Time =               560000, clk_in = 0, clk_out = 0
Time =               570000, clk_in = 1, clk_out = 0
Time =               580000, clk_in = 0, clk_out = 0
Time =               590000, clk_in = 1, clk_out = 0
Time =               600000, clk_in = 0, clk_out = 0
Time =               610000, clk_in = 1, clk_out = 0
Time =               620000, clk_in = 0, clk_out = 0
Time =               630000, clk_in = 1, clk_out = 0
Time =               640000, clk_in = 0, clk_out = 0
Time =               650000, clk_in = 1, clk_out = 0
Time =               660000, clk_in = 0, clk_out = 0
Time =               670000, clk_in = 1, clk_out = 0
Time =               680000, clk_in = 0, clk_out = 0
Time =               690000, clk_in = 1, clk_out = 0
Time =               700000, clk_in = 0, clk_out = 0
Time =               710000, clk_in = 1, clk_out = 0
Time =               720000, clk_in = 0, clk_out = 0
Time =               730000, clk_in = 1, clk_out = 0
Time =               740000, clk_in = 0, clk_out = 0
Time =               750000, clk_in = 1, clk_out = 0
Time =               760000, clk_in = 0, clk_out = 0
Time =               770000, clk_in = 1, clk_out = 0
Time =               780000, clk_in = 0, clk_out = 0
Time =               790000, clk_in = 1, clk_out = 0
Time =               800000, clk_in = 0, clk_out = 0
Time =               810000, clk_in = 1, clk_out = 0
Time =               820000, clk_in = 0, clk_out = 0
Time =               830000, clk_in = 1, clk_out = 0
Time =               840000, clk_in = 0, clk_out = 0
Time =               850000, clk_in = 1, clk_out = 0
Time =               860000, clk_in = 0, clk_out = 0
Time =               870000, clk_in = 1, clk_out = 0
Time =               880000, clk_in = 0, clk_out = 0
Time =               890000, clk_in = 1, clk_out = 0
Time =               900000, clk_in = 0, clk_out = 0
Time =               910000, clk_in = 1, clk_out = 0
Time =               920000, clk_in = 0, clk_out = 0
Time =               930000, clk_in = 1, clk_out = 0
Time =               940000, clk_in = 0, clk_out = 0
Time =               950000, clk_in = 1, clk_out = 0
Time =               960000, clk_in = 0, clk_out = 0
Time =               970000, clk_in = 1, clk_out = 0
Time =               980000, clk_in = 0, clk_out = 0
Time =               990000, clk_in = 1, clk_out = 0
Time =              1000000, clk_in = 0, clk_out = 0
Time =              1010000, clk_in = 1, clk_out = 0
Time =              1020000, clk_in = 0, clk_out = 0
Time =              1030000, clk_in = 1, clk_out = 0
Time =              1040000, clk_in = 0, clk_out = 0
Time =              1050000, clk_in = 1, clk_out = 0
Time =              1060000, clk_in = 0, clk_out = 0
Time =              1070000, clk_in = 1, clk_out = 0
Time =              1080000, clk_in = 0, clk_out = 0
Time =              1090000, clk_in = 1, clk_out = 0
Time =              1100000, clk_in = 0, clk_out = 0
Time =              1110000, clk_in = 1, clk_out = 0
Time =              1120000, clk_in = 0, clk_out = 0
Time =              1130000, clk_in = 1, clk_out = 0
Time =              1140000, clk_in = 0, clk_out = 0
Time =              1150000, clk_in = 1, clk_out = 0
Time =              1160000, clk_in = 0, clk_out = 0
Time =              1170000, clk_in = 1, clk_out = 0
Time =              1180000, clk_in = 0, clk_out = 0
Time =              1190000, clk_in = 1, clk_out = 0
Time =              1200000, clk_in = 0, clk_out = 0
Time =              1210000, clk_in = 1, clk_out = 0
Time =              1220000, clk_in = 0, clk_out = 0
